4556,155,5.0,-1
5051,603,5.0,-1
300,424,4.5,-1
878,752,3.0,-1
1163,3049,2.0,-1
4978,1892,5.0,-1
3158,854,4.0,-1
4039,22,4.5,-1
31,13,5.0,-1
5173,597,4.0,-1
4569,114,2.5,-1
1499,857,2.5,-1
2390,664,2.5,-1
3879,114,2.5,-1
2763,672,5.0,-1
3362,597,4.0,-1
85,134,3.0,-1
4936,1894,3.5,-1
714,603,3.5,-1
2131,275,3.5,-1
4749,24,5.0,-1
2957,603,4.5,-1
3104,788,3.0,-1
4545,14,4.5,-1
4223,38,2.5,-1
2766,36657,3.0,-1
1462,120,4.5,-1
5177,424,4.0,-1
2958,603,4.5,-1
4836,601,3.0,-1
224,24,1.0,-1
3197,585,4.0,-1
4752,854,3.5,-1
1511,24,3.5,-1
4002,752,2.0,-1
5261,24,0.5,-1
5066,114,3.5,-1
5209,752,1.0,-1
3027,114,2.0,-1
4910,9802,5.0,-1
2706,114,1.0,-1
3479,954,3.0,-1
293,1637,1.5,-1
2603,3049,5.0,-1
375,788,3.5,-1
3250,22,3.0,-1
1951,153,4.0,-1
3692,857,3.0,-1
4706,272,4.0,-1
4901,1894,2.0,-1
5262,12,4.0,-1
1516,194,5.0,-1
3821,155,5.0,-1
4300,187,2.5,-1
80,24,5.0,-1
4652,597,5.0,-1
2954,862,5.0,-1
4921,954,3.0,-1
3197,155,5.0,-1
4374,120,3.0,-1
4503,809,3.0,-1
560,807,4.0,-1
4463,1894,1.0,-1
3813,857,5.0,-1
4045,14,5.0,-1
2074,641,4.5,-1
5505,1891,4.0,-1
1769,808,3.5,-1
2330,146,2.5,-1
5479,146,3.5,-1
4470,1422,3.0,-1
2781,786,4.0,-1
4294,955,3.0,-1
2763,187,5.0,-1
5328,557,4.0,-1
3539,1572,5.0,-1
2222,393,3.0,-1
2171,122,5.0,-1
5053,12,3.5,-1
3446,194,5.0,-1
275,107,2.0,-1
3250,809,2.0,-1
132,7443,4.0,-1
2187,180,3.5,-1
2658,77,3.5,-1
4954,38,3.0,-1
5070,243,4.5,-1
4456,954,3.0,-1
5071,5503,3.0,-1
4514,13,4.5,-1
4495,10020,5.0,-1
3651,3049,1.0,-1
4092,329,5.0,-1
2596,955,0.5,-1
620,1637,1.5,-1
1804,558,4.0,-1
5408,280,3.0,-1
648,557,3.0,-1
1782,597,2.5,-1
5033,63,4.0,-1
720,808,3.5,-1
4821,38,4.0,-1
4291,272,3.5,-1
1212,671,3.0,-1
2848,77,4.0,-1
2392,3049,5.0,-1
4408,1892,4.0,-1
2666,812,2.5,-1
2356,121,5.0,-1
4693,955,3.5,-1
4044,9802,3.0,-1
3881,604,4.5,-1
4650,272,5.0,-1
2226,1892,5.0,-1
3524,36955,2.0,-1
1236,1891,5.0,-1
2932,24,3.5,-1
5098,7443,2.5,-1
946,77,4.5,-1
524,2024,4.0,-1
1261,607,2.5,-1
4124,671,5.0,-1
3882,5503,5.0,-1
3020,274,4.5,-1
3379,854,2.0,-1
2817,671,3.5,-1
3860,424,4.5,-1
4402,141,4.0,-1
593,105,2.5,-1
73,134,2.0,-1
919,36955,4.5,-1
3294,557,4.5,-1
828,187,3.0,-1
578,8587,5.0,-1
1803,602,2.0,-1
5125,38,4.0,-1
