2391,13,4.0,-1
1233,10020,2.5,-1
3521,238,3.5,-1
5066,238,5.0,-1
3879,1597,2.5,-1
4463,121,5.0,-1
1125,7443,1.5,-1
2188,10020,3.0,-1
295,862,3.0,-1
1111,462,3.0,-1
1410,121,5.0,-1
1674,12,4.5,-1
5373,9741,2.5,-1
1734,2024,2.5,-1
2761,1892,5.0,-1
1556,453,3.5,-1
4430,8467,3.0,-1
3259,807,3.0,-1
3261,14,2.5,-1
895,414,2.5,-1
1389,607,3.0,-1
4591,120,4.0,-1
3790,2164,3.5,-1
5539,3049,2.5,-1
1662,1900,3.0,-1
198,24,3.0,-1
2659,121,3.0,-1
1877,453,4.0,-1
767,329,3.5,-1
743,114,4.0,-1
3132,1572,2.5,-1
3185,9802,3.0,-1
4253,36955,4.0,-1
732,1891,3.5,-1
5370,10020,5.0,-1
2158,1891,4.0,-1
5227,680,3.0,-1
2215,671,4.0,-1
332,121,4.0,-1
1029,862,3.5,-1
804,24,4.0,-1
3088,2502,3.5,-1
4220,1637,5.0,-1
5562,36658,4.5,-1
5548,38,5.0,-1
497,672,2.5,-1
993,597,3.0,-1
3275,11,4.0,-1
2816,955,3.5,-1
3465,9741,1.5,-1
2122,180,4.0,-1
2054,745,4.5,-1
1636,558,3.5,-1
1395,134,3.0,-1
3836,280,5.0,-1
930,146,3.5,-1
4059,1891,4.0,-1
4288,752,3.5,-1
840,8467,3.5,-1
3071,38,3.0,-1
3499,745,2.5,-1
2305,2024,3.0,-1
4969,557,4.0,-1
3825,2164,4.0,-1
1121,1572,3.0,-1
1145,9806,4.0,-1
2323,272,5.0,-1
2469,36658,2.5,-1
4891,8467,3.5,-1
1942,1572,4.0,-1
3090,786,3.5,-1
4453,77,5.0,-1
3557,7443,4.5,-1
2253,14,4.0,-1
3024,1892,4.5,-1
4855,105,4.0,-1
1466,36657,3.5,-1
514,7443,3.5,-1
2329,9806,3.5,-1
1545,146,4.0,-1
4909,98,4.5,-1
1568,453,2.5,-1
4134,2024,3.0,-1
84,121,4.5,-1
324,1597,2.5,-1
5091,393,1.0,-1
4920,954,2.0,-1
5321,581,3.0,-1
5173,197,5.0,-1
3717,857,3.0,-1
2010,114,3.5,-1
143,1597,4.5,-1
2199,664,1.5,-1
3402,809,4.0,-1
3027,122,3.0,-1
